"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1315","Navigation from login page to registration page","LMS System","Thu Dec 18 18:08:59 UTC 2025","passed","Thu Dec 18 18:09:00 UTC 2025","Authorization","Authentification","",""
"","0","test_login","tests.pytest","Thu Dec 18 18:09:16 UTC 2025","passed","Thu Dec 18 18:09:16 UTC 2025","TestUserAuthentification","test_markers","",""
"","1448","Check displaying of empty courses list","LMS System","Thu Dec 18 18:09:00 UTC 2025","passed","Thu Dec 18 18:09:01 UTC 2025","Courses","Courses","",""
"","1660","User login with wrong email or password","LMS System","Thu Dec 18 18:08:47 UTC 2025","passed","Thu Dec 18 18:08:49 UTC 2025","Authorization","Authentification","",""
"","2183","Check displaying of dashboard page","LMS System","Thu Dec 18 18:09:13 UTC 2025","passed","Thu Dec 18 18:09:16 UTC 2025","Dashboard","Dashboard","",""
"","1843","User login with wrong email or password","LMS System","Thu Dec 18 18:08:41 UTC 2025","passed","Thu Dec 18 18:08:43 UTC 2025","Authorization","Authentification","",""
"","1964","Check displaying of dashboard page","LMS System","Thu Dec 18 18:09:16 UTC 2025","passed","Thu Dec 18 18:09:18 UTC 2025","Dashboard","Dashboard","",""
"","6783","Edit course","LMS System","Thu Dec 18 18:09:08 UTC 2025","passed","Thu Dec 18 18:09:15 UTC 2025","Courses","Courses","",""
"","1760","User login with wrong email or password","LMS System","Thu Dec 18 18:08:43 UTC 2025","passed","Thu Dec 18 18:08:45 UTC 2025","Authorization","Authentification","",""
"","5949","User login with correct email or password","LMS System","Thu Dec 18 18:08:50 UTC 2025","passed","Thu Dec 18 18:08:56 UTC 2025","Authorization","Authentification","",""
"","1424","User login with wrong email or password","LMS System","Thu Dec 18 18:08:46 UTC 2025","passed","Thu Dec 18 18:08:47 UTC 2025","Authorization","Authentification","",""
"","1519","User login with wrong email or password","LMS System","Thu Dec 18 18:08:45 UTC 2025","passed","Thu Dec 18 18:08:47 UTC 2025","Authorization","Authentification","",""
"","4056","Edit course","LMS System","Thu Dec 18 18:09:07 UTC 2025","passed","Thu Dec 18 18:09:11 UTC 2025","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","Thu Dec 18 18:09:16 UTC 2025","passed","Thu Dec 18 18:09:16 UTC 2025","TestUserInterface","test_markers","",""
"","3775","Create course","LMS System","Thu Dec 18 18:09:02 UTC 2025","passed","Thu Dec 18 18:09:06 UTC 2025","Courses","Courses","",""
"","1451","Navigation from login page to registration page","LMS System","Thu Dec 18 18:08:57 UTC 2025","passed","Thu Dec 18 18:08:58 UTC 2025","Authorization","Authentification","",""
"","3722","Registration with correct email, username and password","LMS System","Thu Dec 18 18:08:52 UTC 2025","passed","Thu Dec 18 18:08:56 UTC 2025","Registration","Authentification","",""
"","0","test_regression_case","tests.pytest","Thu Dec 18 18:09:16 UTC 2025","passed","Thu Dec 18 18:09:16 UTC 2025","","test_markers","",""
"","4009","Create course","LMS System","Thu Dec 18 18:09:02 UTC 2025","passed","Thu Dec 18 18:09:06 UTC 2025","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","Thu Dec 18 18:09:16 UTC 2025","passed","Thu Dec 18 18:09:16 UTC 2025","","test_markers","",""
"","0","test_log_out","tests.pytest","Thu Dec 18 18:09:16 UTC 2025","passed","Thu Dec 18 18:09:16 UTC 2025","TestUserAuthentification","test_markers","",""
"","1827","Registration with correct email, username and password","LMS System","Thu Dec 18 18:08:49 UTC 2025","passed","Thu Dec 18 18:08:51 UTC 2025","Registration","Authentification","",""
"","2098","User login with wrong email or password","LMS System","Thu Dec 18 18:08:43 UTC 2025","passed","Thu Dec 18 18:08:45 UTC 2025","Authorization","Authentification","",""
"","1668","Check displaying of empty courses list","LMS System","Thu Dec 18 18:08:58 UTC 2025","passed","Thu Dec 18 18:08:59 UTC 2025","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","Thu Dec 18 18:09:16 UTC 2025","passed","Thu Dec 18 18:09:16 UTC 2025","TestUserAuthentification","test_markers","",""
"","3040","User login with correct email or password","LMS System","Thu Dec 18 18:08:47 UTC 2025","passed","Thu Dec 18 18:08:50 UTC 2025","Authorization","Authentification","",""
